Data,Acompanhamentos,Prato Principal,Guarnição,Salada,Sobremesa,Refresco,Extra,Nota Técnica
2014-08-11,ARROZ E FEIJÃO,Carne louca,Macarrão ao sugo,Alface/Cenoura/Vinagrete,Banana,Laranja,PÃO E CAFÉ,
2014-08-12,ARROZ E FEIJÃO,BIFE AO MOLHO DE TOMATE,CREME DE ERVILHA,ESCAROLA COM VINAGRETE,ARROZ DOCE/GELATINA,CAJÚ,PÃO E CAFÉ,
2014-08-13,ARROZ E FEIJÃO,"ISCA DE FRANGO COM BRÓCOLIS, CENOURA E COUVE-FLOR",-----,BETERRABA RALADA / AGRIÃO,MAÇÃ,TANGERINA,PÃO E CAFÉ,
2014-08-15,ARROZ E FEIJÃO,LAGARTO AO MOLHO,BROCOLIS COM COUVE FLOR/FAROFA,REPOLHO BICOLOR,LARANJA,MANGA,PÃO E CAFÉ,
2014-08-18,ARROZ E FEIJÃO,CARNE EM CUBOS ACEBOLADA,POLENTA AO SUGO,ALFACE,TANGERINA,ABACAXI,PÃO E CAFÉ,
2014-08-19,ARROZ E FEIJÃO,BIFE AO MOLHO,MACARRÃO ALHO E OLEO COM ERVAS,AGRIÃO/RUCULA/TOMATE,MAÇÃ,LARANJA,PÃO E CAFÉ,
2014-08-20,ARROZ E FEIJÃO,CARNE LOUCA,CENOURA SAUTÊ,"ESCAROLA,PEPINO, PIMENTÃO E VINAGRETE",MELANCIA,UVA,PÃO E CAFÉ,
2014-08-21,ARROZ E FEIJÃO,Sobrecoxa de frango,Farofa agridoce,Alface com cenoura,Flan de banana,Tangerina,PÃO E CAFÉ,
2014-08-22,ARROZ E FEIJÃO,CARNE EM CUBOS,REPOLHO COM ACELGA REFOGADOS COM BACON,ALFACE,TANGERINA,UVA,PÃO E CAFÉ,
2014-08-25,ARROZ E FEIJÃO,BIFE ACEBOLADO,BERINJELA REFOGADA,"ALFACE/CENOURA,LARANJA /VINAGRETE",MELANCIA,LARANJA,PÃO E CAFÉ,
2014-08-26,ARROZ E FEIJÃO,Frango frito,Nhoque com molho,"Alface,maçã,croutons",Bananada,Abacaxi,PÃO E CAFÉ,
2014-08-27,ARROZ E FEIJÃO,BIFE AO MOLHO,FAROFA AGRIDOCE,ALFACE/AGRIÂO,COCADA,UVA,PÃO E CAFÉ,
2014-08-28,ARROZ E FEIJÃO,STROGONOFF DE CARNE,BATATA FRITA,REPOLHO COM CENOURA RALADA E SALSÃO/BERINJELA CURTIDA,SAGÚ DE ABACAXI,TANGERINA,PÃO E CAFÉ,
2014-08-29,ARROZ E FEIJÃO,SALSICHA ACEBOLADA,CAPELETTI AO MOLHO BRANCO,AGRIÃO/BERINJELA,LARANJA,MANGA,PÃO E CAFÉ,
2014-09-01,ARROZ E FEIJÃO,BIFE ACEBOLADO,ESPINAFRE REFOGADO,SALADA DE ALFACE/TOMATE/PEPINO,MAÇÃ,UVA,PÃO E CAFÉ,
